id,station_code,name,description,address,lat,lon,capacity
16,16,Pichincha,"Pichincha, Bv. Oroño 173",Bv. Oroño 173,-32.936590000253865,-60.65140575170517,20
17,17,Distrito Centro,"Distrito Centro, Wheelwright 1587",Wheelwright 1587,-32.935878648179575,-60.64261347055435,20
18,18,Parque España,"Parque Españaa, Dr. Mario Armas 1005",Dr. Mario Armas 1005,-32.94099755421734,-60.63473045825958,20
21,19,Parque Independencia I,"Parque Independencia I, Av. Pellegrini 2775",Av. Pellegrini 2775,-32.95358421061909,-60.66343545913696,12
22,33,HECA / UCA,HECA / UCA; Av. Pellegrini 3275,Av. Pellegrini 3275,-32.95206724436681,-60.67079275846481,20
23,31,Parque Independencia II,Parque Independencia II; Av. J Coronado 2667,Av. J Coronado 2667,-32.96512040461018,-60.65592795610428,20
24,36,Parque de la Arenera,Parque de la Arenera; Av. Estanislao López 2861,Av. Estanislao López 2861,-32.92663505330592,-60.65880596637726,20
25,28,Plaza Suecia,Plaza Suecia; Bv. Oroño 239 bis,Bv. Oroño 239 bis,-32.93184904583995,-60.65018132328987,20
26,26,Gimnasio UNR,Gimnasio UNR; Mariano Moreno 483,Mariano Moreno 483,-32.94041229412281,-60.64960062503815,20
27,21,Abasto,"Abasto, Entre Ríos 2230",Entre Ríos 2230,-32.962680960480846,-60.64523935317993,20
28,32,Parque Hipólito Yrigoyen,"Parque Hipólito Yrigoyen, 27 de Febrero 880",27 de Febrero 880,-32.96806835144843,-60.64059376716614,16
29,22,República de la Sexta,"República de la Sexta, Buenos Aires 2181",Buenos Aires 2181,-32.96399070730771,-60.63680648803711,20
30,24,Barrio Martin,Barrio Martin; Mendoza 391,Mendoza 391,-32.95339515393067,-60.62930703163147,16
31,25,Pichincha II,"Pichincha II, Salta 2820",Salta 2820,-32.935162788101124,-60.65977692604065,20
32,27,Plaza Cooperación,Plaza Cooperación; Tucuman 1221,Tucuman 1221,-32.94162782998716,-60.63880205154419,20
33,29,Barrio Parque,Barrio Parque; Av. Francia 2270,Av. Francia 2270,-32.95894064873677,-60.67002296447754,12
34,30,Estadio Municipal,Club Provincial; 27 de Febrero 2700,27 de Febrero 2700,-32.963612638052126,-60.66525936126709,20
35,34,CC Echesortu,CC Echesortu; Mendoza 3481,Mendoza 3481,-32.94575602519591,-60.672104358673096,20
36,20,Paseo Pellegrini II,Paseo Pellegrini II; Av. Pellegrini 1851,Av. Pellegrini 1851,-32.9556277975818,-60.65117239952088,20
37,49,Club Provincial,Club Provincial; Bv. Oroño 3180,Bv. Oroño 3180,-32.971511248782775,-60.6603080034256,16
38,37,Barrio Hospitales,Barrio Hospitales; Rueda 1128,Rueda 1128,-32.97084968284816,-60.64461708068848,20
39,38,Parque Hipólito Yrigoyen II,Parque Hipólito Yrigoyen II; Além 2624,Além 2624,-32.96977681526667,-60.633952617645264,16
40,51,Plaza Gral. Toribio de Luzuriaga,Plaza Gral. Toribio de Luzuriaga; Av. San Martín 3427,Av. San Martín 3427 y Uruguay,-32.97733374029842,-60.64409136772156,16
41,41,Pellegrini y Avellaneda,"Pellegrini y Avellaneda, Av. Pellegrini 4079", Av. Pellegrini 4079,-32.95019913442736,-60.68156719207764,12
